  1.160500e+00  1.000000e-06   -2.8869776072e+06   -2.4486569757e+15    6.1560137477e+08
  1.160500e+00  1.122018e-06   -3.1894514726e+06   -2.4489868130e+15    6.0160492522e+08
  1.160500e+00  1.258925e-06   -3.5229755173e+06   -2.4493115411e+15    5.8782293998e+08
  1.160500e+00  1.412538e-06   -3.8908950989e+06   -2.4496311999e+15    5.7425376407e+08
  1.160500e+00  1.584893e-06   -4.2966980841e+06   -2.4499458293e+15    5.6089574032e+08
  1.160500e+00  1.778279e-06   -4.7442186557e+06   -2.4502554691e+15    5.4774721293e+08
  1.160500e+00  1.995262e-06   -5.2376708267e+06   -2.4505601594e+15    5.3480652605e+08
  1.160500e+00  2.238721e-06   -5.7816851111e+06   -2.4508599399e+15    5.2207202238e+08
  1.160500e+00  2.511886e-06   -6.3813483828e+06   -2.4511548506e+15    5.0954204675e+08
  1.160500e+00  2.818383e-06   -7.0422477439e+06   -2.4514449314e+15    4.9721494229e+08
  1.160500e+00  3.162278e-06   -7.7705181458e+06   -2.4517302222e+15    4.8508905288e+08
  1.160500e+00  3.548134e-06   -8.5728945209e+06   -2.4520107629e+15    4.7316272238e+08
  1.160500e+00  3.981072e-06   -9.4567686730e+06   -2.4522865933e+15    4.6143429421e+08
  1.160500e+00  4.466836e-06   -1.0430251183e+07   -2.4525577535e+15    4.4990211268e+08
  1.160500e+00  5.011872e-06   -1.1502239179e+07   -2.4528242832e+15    4.3856452095e+08
  1.160500e+00  5.623413e-06   -1.2682489827e+07   -2.4530862225e+15    4.2741986325e+08
  1.160500e+00  6.309573e-06   -1.3981700741e+07   -2.4533436111e+15    4.1646648305e+08
  1.160500e+00  7.079458e-06   -1.5411597265e+07   -2.4535964891e+15    4.0570272409e+08
  1.160500e+00  7.943282e-06   -1.6985027576e+07   -2.4538448963e+15    3.9512693014e+08
  1.160500e+00  8.912509e-06   -1.8716066064e+07   -2.4540888725e+15    3.8473744511e+08
  1.160500e+00  1.000000e-05   -2.0620125835e+07   -2.4543284578e+15    3.7453261258e+08
  1.160500e+00  1.122018e-05   -2.2714080681e+07   -2.4545636919e+15    3.6451077671e+08
  1.160500e+00  1.258925e-05   -2.5016398087e+07   -2.4547946149e+15    3.5467028034e+08
  1.160500e+00  1.412538e-05   -2.7547282482e+07   -2.4550212666e+15    3.4500946814e+08
  1.160500e+00  1.584893e-05   -3.0328832101e+07   -2.4552436868e+15    3.3552668319e+08
  1.160500e+00  1.778279e-05   -3.3385207536e+07   -2.4554619156e+15    3.2622026957e+08
  1.160500e+00  1.995262e-05   -3.6742815184e+07   -2.4556759928e+15    3.1708857131e+08
  1.160500e+00  2.238721e-05   -4.0430506020e+07   -2.4558859584e+15    3.0812993141e+08
  1.160500e+00  2.511886e-05   -4.4479789106e+07   -2.4560918521e+15    2.9934269440e+08
  1.160500e+00  2.818383e-05   -4.8925064526e+07   -2.4562937140e+15    2.9072520358e+08
  1.160500e+00  3.162278e-05   -5.3803873026e+07   -2.4564915838e+15    2.8227580278e+08
  1.160500e+00  3.548134e-05   -5.9157166354e+07   -2.4566855016e+15    2.7399283585e+08
  1.160500e+00  3.981072e-05   -6.5029598747e+07   -2.4568755072e+15    2.6587464630e+08
  1.160500e+00  4.466836e-05   -7.1469839924e+07   -2.4570616406e+15    2.5791957826e+08
  1.160500e+00  5.011872e-05   -7.8530913716e+07   -2.4572439415e+15    2.5012597509e+08
  1.160500e+00  5.623413e-05   -8.6270559693e+07   -2.4574224500e+15    2.4249218085e+08
  1.160500e+00  6.309573e-05   -9.4751623879e+07   -2.4575972059e+15    2.3501653911e+08
  1.160500e+00  7.079458e-05   -1.0404247607e+08   -2.4577682491e+15    2.2769739361e+08
  1.160500e+00  7.943282e-05   -1.1421745779e+08   -2.4579356196e+15    2.2053308810e+08
  1.160500e+00  8.912509e-05   -1.2535736115e+08   -2.4580993572e+15    2.1352196647e+08
  1.160500e+00  1.000000e-04   -1.3754994147e+08   -2.4582595018e+15    2.0666237233e+08
  1.160500e+00  1.122018e-04   -1.5089046242e+08   -2.4584160934e+15    1.9995264970e+08
  1.160500e+00  1.258925e-04   -1.6548228066e+08   -2.4585691718e+15    1.9339114174e+08
  1.160500e+00  1.412538e-04   -1.8143746065e+08   -2.4587187769e+15    1.8697619280e+08
  1.160500e+00  1.584893e-04   -1.9887743707e+08   -2.4588649487e+15    1.8070614619e+08
  1.160500e+00  1.778279e-04   -2.1793370771e+08   -2.4590077270e+15    1.7457934588e+08
  1.160500e+00  1.995262e-04   -2.3874857197e+08   -2.4591471518e+15    1.6859413580e+08
  1.160500e+00  2.238721e-04   -2.6147591161e+08   -2.4592832629e+15    1.6274885921e+08
  1.160500e+00  2.511886e-04   -2.8628200370e+08   -2.4594161002e+15    1.5704186036e+08
  1.160500e+00  2.818383e-04   -3.1334638791e+08   -2.4595457037e+15    1.5147148272e+08
  1.160500e+00  3.162278e-04   -3.4286276310e+08   -2.4596721132e+15    1.4603607009e+08
  1.160500e+00  3.548134e-04   -3.7503992940e+08   -2.4597953687e+15    1.4073396628e+08
  1.160500e+00  3.981072e-04   -4.1010276847e+08   -2.4599155100e+15    1.3556351488e+08
  1.160500e+00  4.466836e-04   -4.4829325397e+08   -2.4600325771e+15    1.3052305989e+08
  1.160500e+00  5.011872e-04   -4.8987150499e+08   -2.4601466098e+15    1.2561094481e+08
  1.160500e+00  5.623413e-04   -5.3511685399e+08   -2.4602576481e+15    1.2082551359e+08
  1.160500e+00  6.309573e-04   -5.8432895134e+08   -2.4603657319e+15    1.1616510985e+08
