1.000000e-06 -1.4015000000e-03
1.122018e-06 -1.5203349997e-03
1.258925e-06 -1.6901073629e-03
1.412538e-06 -1.9012755288e-03
1.584893e-06 -2.1261342144e-03
1.778279e-06 -2.3491071006e-03
1.995262e-06 -2.6167865196e-03
2.238721e-06 -2.8543694535e-03
2.511886e-06 -3.1938635957e-03
2.818383e-06 -3.6878540639e-03
3.162278e-06 -4.0587833766e-03
3.548134e-06 -4.5895111867e-03
3.981072e-06 -5.0061976753e-03
4.466836e-06 -5.5634441384e-03
5.011872e-06 -6.4978924888e-03
5.623413e-06 -6.8661875783e-03
6.309573e-06 -7.6345838624e-03
7.079458e-06 -8.7183523300e-03
7.943282e-06 -9.5994567200e-03
8.912509e-06 -1.1073792905e-02
1.000000e-05 -1.1915000000e-02
1.122018e-05 -1.3228597526e-02
1.258925e-05 -1.5025274768e-02
1.412538e-05 -1.6660880284e-02
1.584893e-05 -1.8305516344e-02
1.778279e-05 -2.0814760494e-02
1.995262e-05 -2.3903242474e-02
2.238721e-05 -2.5297548882e-02
2.511886e-05 -2.8108009152e-02
2.818383e-05 -3.2016830085e-02
3.162278e-05 -3.5986719771e-02
3.548134e-05 -3.9260101493e-02
3.981072e-05 -4.4627813869e-02
4.466836e-05 -4.8800182426e-02
5.011872e-05 -5.3201024889e-02
5.623413e-05 -6.2476121208e-02
6.309573e-05 -6.9121377035e-02
7.079458e-05 -7.7201487745e-02
7.943282e-05 -8.4754822674e-02
8.912509e-05 -9.2422722271e-02
1.000000e-04 -1.0585000000e-01
1.122018e-04 -1.2044868061e-01
1.258925e-04 -1.3237600686e-01
1.412538e-04 -1.4429070971e-01
1.584893e-04 -1.6007421219e-01
1.778279e-04 -1.7969513438e-01
1.995262e-04 -1.9763073181e-01
2.238721e-04 -2.1849918326e-01
2.511886e-04 -2.5432850104e-01
2.818383e-04 -2.8874333118e-01
3.162278e-04 -3.1369794387e-01
3.548134e-04 -3.4186270030e-01
3.981072e-04 -3.8317815209e-01
4.466836e-04 -4.3417645142e-01
5.011872e-04 -4.7362193613e-01
5.623413e-04 -5.1904104297e-01
6.309573e-04 -5.9373086070e-01
7.079458e-04 -6.6582300985e-01
7.943282e-04 -7.4071107914e-01
8.912509e-04 -8.3510212891e-01
1.000000e-03 -8.9850000000e-01
1.122018e-03 -9.9130330057e-01
1.258925e-03 -1.1600997653e+00
1.412538e-03 -1.3044784182e+00
1.584893e-03 -1.4081775993e+00
1.778279e-03 -1.5808903955e+00
1.995262e-03 -1.6830037585e+00
2.238721e-03 -1.9185840170e+00
2.511886e-03 -2.2481383549e+00
2.818383e-03 -2.3364394490e+00
3.162278e-03 -2.6341772908e+00
3.548134e-03 -3.0159138065e+00
3.981072e-03 -3.3779393459e+00
4.466836e-03 -3.6159036772e+00
5.011872e-03 -4.1673718507e+00
5.623413e-03 -4.6589978776e+00
6.309573e-03 -4.9467055770e+00
7.079458e-03 -5.4511825368e+00
7.943282e-03 -6.4618601917e+00
8.912509e-03 -7.1612012868e+00
1.000000e-02 -7.8750000000e+00
1.122018e-02 -9.3856843343e+00
1.258925e-02 -9.2719856446e+00
1.412538e-02 -1.0565780799e+01
1.584893e-02 -1.2798012509e+01
1.778279e-02 -1.2830285943e+01
1.995262e-02 -1.3368257477e+01
2.238721e-02 -1.7641122583e+01
2.511886e-02 -1.9705749043e+01
2.818383e-02 -1.9658220937e+01
3.162278e-02 -2.1993641125e+01
3.548134e-02 -2.7036780242e+01
3.981072e-02 -2.6951855477e+01
4.466836e-02 -2.9994803203e+01
5.011872e-02 -3.8115289146e+01
5.623413e-02 -3.5371269342e+01
6.309573e-02 -3.3440739232e+01
7.079458e-02 -3.1538984677e+01
7.943282e-02 -1.4218475406e+01
8.912509e-02 4.2780045024e+01
1.000000e-01 1.6900000000e+02
1.122018e-01 4.4633893941e+02
1.258925e-01 1.0400612275e+03
1.412538e-01 2.2157063852e+03
1.584893e-01 4.4294594874e+03
1.778279e-01 8.3470657226e+03
1.995262e-01 1.4735810264e+04
2.238721e-01 2.3910996944e+04
2.511886e-01 3.4258614264e+04
2.818383e-01 3.8494883249e+04
3.162278e-01 1.5117426468e+04
3.548134e-01 -8.8954555129e+04
3.981072e-01 -3.9278666771e+05
4.466836e-01 -1.1463931148e+06
5.011872e-01 -2.8489772806e+06
5.623413e-01 -6.4586830007e+06
6.309573e-01 -1.3754905433e+07
7.079458e-01 -2.7954026163e+07
7.943282e-01 -5.4739445148e+07
8.912509e-01 -1.0396497449e+08
1.000000e+00 -1.9244809350e+08
1.122018e+00 -3.4852053391e+08
1.258925e+00 -6.1940854270e+08
1.412538e+00 -1.0831636128e+09
1.584893e+00 -1.8679144010e+09
1.778279e+00 -3.1829180380e+09
1.995262e+00 -5.3686911004e+09
2.238721e+00 -8.9781915254e+09
2.511886e+00 -1.4909070674e+10
2.818383e+00 -2.4621326899e+10
3.162278e+00 -4.0501533465e+10
3.548134e+00 -6.6489076200e+10
3.981072e+00 -1.0920213783e+11
4.466836e+00 -1.8012503674e+11
5.011872e+00 -1.2775268404e+11
5.623413e+00 8.5905905420e+10
6.309573e+00 2.7760807742e+11
7.079458e+00 4.6058464211e+11
7.943282e+00 6.9425631744e+11
8.912509e+00 1.0073370330e+12
1.000000e+01 1.4346434445e+12
1.122018e+01 2.0226638602e+12
1.258925e+01 2.8347240378e+12
1.412538e+01 3.9570065713e+12
1.584893e+01 5.5060203011e+12
1.778279e+01 7.6380665566e+12
1.995262e+01 1.0561555005e+13
2.238721e+01 1.4551304358e+13
